time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
260,1723.0,762.0,1797.0,742.0,40.0,0,0
275,1759.0,752.0,1797.0,742.0,40.0,0,0
290,1782.0,746.0,1797.0,742.0,40.0,0,0
306,1795.0,742.0,1797.0,742.0,40.0,0,0
321,1797.0,742.0,1797.0,742.0,40.0,0,1
4,797.0,790.0,1923.0,799.0,40.0,1,0
20,797.0,790.0,1923.0,799.0,40.0,0,0
35,797.0,790.0,1923.0,799.0,40.0,0,0
50,800.0,790.0,1923.0,799.0,40.0,0,0
65,812.0,790.0,1923.0,799.0,40.0,0,0
81,843.0,791.0,1923.0,799.0,40.0,0,0
96,893.0,793.0,1923.0,799.0,40.0,0,0
111,963.0,795.0,1923.0,799.0,40.0,0,0
127,1049.0,798.0,1923.0,799.0,40.0,0,0
143,1138.0,801.0,1923.0,799.0,40.0,0,0
159,1241.0,803.0,1923.0,799.0,40.0,0,0
175,1347.0,806.0,1923.0,799.0,40.0,0,0
191,1458.0,809.0,1923.0,799.0,40.0,0,0
207,1566.0,809.0,1923.0,799.0,40.0,0,0
223,1665.0,806.0,1923.0,799.0,40.0,0,0
239,1746.0,801.0,1923.0,799.0,40.0,0,0
255,1812.0,800.0,1923.0,799.0,40.0,0,0
270,1865.0,799.0,1923.0,799.0,40.0,0,0
287,1902.0,799.0,1923.0,799.0,40.0,0,0
302,1920.0,799.0,1923.0,799.0,40.0,0,0
317,1923.0,799.0,1923.0,799.0,40.0,0,0
333,1923.0,799.0,1923.0,799.0,40.0,0,0
349,1923.0,799.0,1923.0,799.0,40.0,0,1
12,778.0,813.0,2192.0,718.0,40.0,1,0
27,778.0,813.0,2192.0,718.0,40.0,0,0
44,778.0,813.0,2192.0,718.0,40.0,0,0
59,778.0,813.0,2192.0,718.0,40.0,0,0
74,778.0,813.0,2192.0,718.0,40.0,0,0
89,778.0,813.0,2192.0,718.0,40.0,0,0
104,778.0,813.0,2192.0,718.0,40.0,0,0
120,780.0,813.0,2192.0,718.0,40.0,0,0
136,792.0,813.0,2192.0,718.0,40.0,0,0
151,813.0,811.0,2192.0,718.0,40.0,0,0
167,846.0,808.0,2192.0,718.0,40.0,0,0
183,896.0,803.0,2192.0,718.0,40.0,0,0
198,964.0,795.0,2192.0,718.0,40.0,0,0
214,1043.0,785.0,2192.0,718.0,40.0,0,0
230,1133.0,776.0,2192.0,718.0,40.0,0,0
245,1228.0,767.0,2192.0,718.0,40.0,0,0
260,1326.0,759.0,2192.0,718.0,40.0,0,0
276,1417.0,751.0,2192.0,718.0,40.0,0,0
291,1504.0,745.0,2192.0,718.0,40.0,0,0
306,1582.0,739.0,2192.0,718.0,40.0,0,0
321,1655.0,733.0,2192.0,718.0,40.0,0,0
336,1729.0,727.0,2192.0,718.0,40.0,0,0
352,1784.0,723.0,2192.0,718.0,40.0,0,0
367,1834.0,720.0,2192.0,718.0,40.0,0,0
382,1878.0,718.0,2192.0,718.0,40.0,0,0
397,1923.0,716.0,2192.0,718.0,40.0,0,0
413,1964.0,714.0,2192.0,718.0,40.0,0,0
429,2001.0,713.0,2192.0,718.0,40.0,0,0
